Chantons avec toute l'Eglise	ROBERT	1		français		Mystère de DieuSATB	M26-03	SATB				XX-XXI	1					0	VRAI
Praise O Praise	HOWE Martin	1		anglais		Louange		SATB				XX	1					0	VRAI
Un monde meilleur	DVORAK A	1		français	Offertoire		B 67	SATB				XIX	1					0	VRAI
Viens, lève-toi	ROBERT Philippe	1		français		Témoignage		SATB				XX-XXI	1					0	VRAI
Alleluia du Jubilé en fa mineur et Psaume 97	LECOT	2		français		Alleluia+Psaume		SATB				XX-XXI	2					0	VRAI
Alleluia du Jubilé en mi mineur 	LECOT	2		français		Alleluia		SATB				XX-XXI	2		contre chant trompette			0	VRAI
Gloire à Dieu de la Messe du Jubilé	LECOT	2		français		Gloria		Unisson				XX-XXI	2					0	VRAI
Jour du Seigneur	ROBERT Philippe	2		français	Pâques	Mystère de Dieu	M26-04	SATB				XX-XXI	2					0	VRAI
Laudate	NYSTEDT Knut	2		latin		Psaume de Louange		SATB				XX	2					0	VRAI
Messe de Saint François Xavier	LEBRUN Patricia	2		français		KY,Al SancAgnus		SATB				XX-XXI	2					0	VRAI
Messe du Jubilé	LECOT	2		français		Gloria, Agnus		SATB				XX-XXI	2					0	VRAI
Allein zu dir,herr Jesu Christ	BACH Johann Sebastian	3		allemand				SATB		ext cantate 33		XVII	3			En toi seul, Seigneur Jésus-Christ		0	VRAI
Das blut Jesu Christi	BACH Michael	3		allemand				SATTB		Mottet		XVII	3					0	VRAI
Das ist je gewiblich wahr	SCHÜTZ	3		allemand				SATTB		SWV277		XVII	3					0	VRAI
La joie de Dieu ne passe pas	BERTHIER Jacques	3		français	Toussaint		W13-26	Unisson				XX	3					0	VRAI
Non nobis domine	BYRD	3		latin				MSTByr		tiré Psaume 115			3			Non pas à nous Seigneur donne ta Gloire		0	VRAI
Salvum fac populum tuum	BRUCKNER Anton	3		latin				SATB				XIX 	3					0	VRAI
Agneau de Dieu Messe Saint Irénée	REVEYRON	4		français		Agnus Dei		4VM					4					0	VRAI
Agnus Dei Messe brève Regina Virginum	REVEYRON	4		latin		Agnus Dei		1VE					4					0	VRAI
Amen de Fourvière		4				Amen		SATB					4					0	VRAI
Amen, Alleluia	REVEYRON	4				Amen		SATB					4					0	VRAI
Je crois en un seul Dieu (Messe de St Irénée)	REVEYRON	4		français		Credo		1VE					4					0	VRAI
Kyrie ( Messe Brève Regina Virginum)	REVEYRON	4				Kyrie		4VM					4					0	VRAI
"Messe Brève ""Regina Virginum"""	REVEYRON	4				Messe		SAByr				XX 	4					0	VRAI
Messe de Saint Irénée (Credo, Sanctus, Agnus)	REVEYRON	4		français		Credo,Sanc,Agnus		SATB				XX	4					0	VRAI
Agnus Dei (Messa Concertata)	CASALI Giovanni battista	5				Agnus Dei		SATB					5					0	VRAI
Agnus Dei Messe de la confiance	REVEYRON	5				Agnus Dei		3VM					5					0	VRAI
Kyrie de la Messe de la confiance	REVEYRON	5				Kyrie		4VM					5					0	VRAI
Lumen ad revelationem gentium	ANONYME	5		latin	Fête du 2 février			Unisson					5					0	VRAI
Messa Concertata (Agnus Dei)	CASALI 	5				Agnus Dei		4VM					5					0	VRAI
Messe de la confiance	REVEYRON	5		français		Messe		4VM					5					0	VRAI
Acte Pénitentiel	REBOUD	6		français		acte pénitentiel		SATB					6					0	VRAI
Agneau de DIEU	REBOUD	6		français		Agnus Dei		4VM					6					0	VRAI
Agneau de Dieu (St Severin )	ISOIR	6		français		Agnus Dei		SATB					6					0	VRAI
Agnus Dei	LANGLAIS, Jean	6		français		Agnus Dei		SATB				XX	6					0	VRAI
Agnus Dei du ton royal	MONT DU HENRI	6		latin		Agnus Dei		Unisson				XVII	6					0	VRAI
Kyrie de Taizé	BERTHIER J.	6		français		Kyrie		SATB				XX	6					0	VRAI
Prière pénitentielle	GODARD Marcel	6		français		Prière pénitentielle		SATB				XX	6					0	VRAI
Agneau de Dieu	GELINEAU, J.	7		français		Agnus Dei		SATB				XX	7					0	VRAI
Amen Final des Combats de Dieu	GODARD Marcel	7		français	 St Ignace de Loyola	Amen	C	3S/SATB				XX	7					0	VRAI
Kyrie de la Messe sur la montagne	GODARD Marcel	7		français		Kyrie		3VE/4VM					7					0	VRAI
Kyrie Slavon	GODARD Marcel	7		latin		Kyrie		SATB				XX	7					0	VRAI
Messe sur la montagne	GODARD Marcel	7		français		Messe		3S/SATB				XX	7					0	VRAI
Alleluia	BOGENSBERGER	8				Alleluia		T					8		2 trompettes et ?			0	VRAI
