Chantons avec toute l Eglise	ROBERT	1		français		Mystère de Dieu	M26-03	SATB				XX-XXI	1			
Praise O Praise	HOWE Martin	1		anglais		Louange		SATB				XX	1			
Un monde meilleur	DVORAK A	1		français	Offertoire		B 67	SATB				XIX	1			
Viens, lève-toi	ROBERT Philippe	1		français		Témoignage		SATB				XX-XXI	1			
Alleluia du Jubilé en fa mineur et Psaume 97	LECOT	2		français		Alleluia+Psaume		SATB				XX-XXI	2			
Alleluia du Jubilé en mi mineur 	LECOT	2		français		Alleluia		SATB				XX-XXI	2		contre chant trompette	
Gloire à Dieu de la Messe du Jubilé	LECOT	2		français		Gloria		Unisson				XX-XXI	2			
Jour du Seigneur	ROBERT Philippe	2		français	Pâques	Mystère de Dieu	M26-04	SATB				XX-XXI	2			
Laudate	NYSTEDT Knut	2		latin		Psaume de Louange		SATB				XX	2			
Messe de Saint François Xavier	LEBRUN Patricia	2		français		KY,Al SancAgnus		SATB				XX-XXI	2			
Messe du Jubilé	LECOT	2		français		Gloria, Agnus		SATB				XX-XXI	2			
Allein zu dir,herr Jesu Christ	BACH Johann Sebastian	3		allemand				SATB		ext cantate 33		XVII	3			En toi seul, Seigneur Jésus-Christ
Das blut Jesu Christi	BACH Michael	3		allemand				SATTB		Mottet		XVII	3			
Das ist je gewiblich wahr	SCHÜTZ	3		allemand				SATTB		SWV277		XVII	3			
La joie de Dieu ne passe pas	BERTHIER Jacques	3		français	Toussaint		W13-26	Unisson				XX	3			
Non nobis domine	BYRD	3		latin				MSTByr		tiré Psaume 115			3			Non pas à nous Seigneur donne ta Gloire
Salvum fac populum tuum	BRUCKNER Anton	3		latin				SATB				XIX 	3			
