Chantons avec toute l'Eglise	ROBERT	1		français		Mystère de DieuSATB	M26-03	SATB				XX-XXI	1			
Praise O Praise	HOWE Martin	1		anglais		Louange		SATB				XX	1			
Un monde meilleur	DVORAK A	1		français	Offertoire		B 67	SATB				XIX	1			
Viens, lève-toi	ROBERT Philippe	1		français		Témoignage		SATB				XX-XXI	1			
Alleluia du Jubilé en fa mineur et Psaume 97	LECOT	2		français		Alleluia+Psaume		SATB				XX-XXI	2			
Alleluia du Jubilé en mi mineur 	LECOT	2		français		Alleluia		SATB				XX-XXI	2		contre chant trompette	
Gloire à Dieu de la Messe du Jubilé	LECOT	2		français		Gloria		Unisson				XX-XXI	2			
Jour du Seigneur	ROBERT Philippe	2		français	Pâques	Mystère de Dieu	M26-04	SATB				XX-XXI	2			
Laudate	NYSTEDT Knut	2		latin		Psaume de Louange		SATB				XX	2			
Messe de Saint François Xavier	LEBRUN Patricia	2		français		KY,Al SancAgnus		SATB				XX-XXI	2			
Messe du Jubilé	LECOT	2		français		Gloria, Agnus		SATB				XX-XXI	2			
Allein zu dir,herr Jesu Christ	BACH Johann Sebastian	3		allemand				SATB		ext cantate 33		XVII	3			En toi seul, Seigneur Jésus-Christ
Das blut Jesu Christi	BACH Michael	3		allemand				SATTB		Mottet		XVII	3			
Das ist je gewiblich wahr	SCHÜTZ	3		allemand				SATTB		SWV277		XVII	3			
La joie de Dieu ne passe pas	BERTHIER Jacques	3		français	Toussaint		W13-26	Unisson				XX	3			
Non nobis domine	BYRD	3		latin				MSTByr		tiré Psaume 115			3			Non pas à nous Seigneur donne ta Gloire
Salvum fac populum tuum	BRUCKNER Anton	3		latin				SATB				XIX 	3			
Agneau de Dieu Messe Saint Irénée	REVEYRON	4		français		Agnus Dei		4VM					4			
Agnus Dei Messe brève Regina Virginum	REVEYRON	4		latin		Agnus Dei		1VE					4			
Amen de Fourvière		4				Amen		SATB					4			
Amen, Alleluia	REVEYRON	4				Amen		SATB					4			
Je crois en un seul Dieu (Messe de St Irénée)	REVEYRON	4		français		Credo		1VE					4			
Kyrie ( Messe Brève Regina Virginum)	REVEYRON	4				Kyrie		4VM					4			
"Messe Brève ""Regina Virginum"""	REVEYRON	4				Messe		SAByr				XX 	4			
Messe de Saint Irénée (Credo, Sanctus, Agnus)	REVEYRON	4		français		Credo,Sanc,Agnus		SATB				XX	4			
Agnus Dei (Messa Concertata)	CASALI Giovanni battista	5				Agnus Dei		SATB					5			
Agnus Dei Messe de la confiance	REVEYRON	5				Agnus Dei		3VM					5			
Kyrie de la Messe de la confiance	REVEYRON	5				Kyrie		4VM					5			
Lumen ad revelationem gentium	ANONYME	5		latin	Fête du 2 février			Unisson					5			
Messa Concertata (Agnus Dei)	CASALI 	5				Agnus Dei		4VM					5			
Messe de la confiance	REVEYRON	5		français		Messe		4VM					5			
Acte Pénitentiel	REBOUD	6		français		acte pénitentiel		SATB					6			
Agneau de DIEU	REBOUD	6		français		Agnus Dei		4VM					6			
Agneau de Dieu (St Severin )	ISOIR	6		français		Agnus Dei		SATB					6			
Agnus Dei	LANGLAIS, Jean	6		français		Agnus Dei		SATB				XX	6			
Agnus Dei du ton royal	MONT DU HENRI	6		latin		Agnus Dei		Unisson				XVII	6			
Kyrie de Taizé	BERTHIER J.	6		français		Kyrie		SATB				XX	6			
Prière pénitentielle	GODARD Marcel	6		français		Prière pénitentielle		SATB				XX	6			
Agneau de Dieu	GELINEAU, J.	7		français		Agnus Dei		SATB				XX	7			
Amen Final des Combats de Dieu	GODARD Marcel	7		français	 St Ignace de Loyola	Amen	C	3S/SATB				XX	7			
Kyrie de la Messe sur la montagne	GODARD Marcel	7		français		Kyrie		3VE/4VM					7			
Kyrie Slavon	GODARD Marcel	7		latin		Kyrie		SATB				XX	7			
Messe sur la montagne	GODARD Marcel	7		français		Messe		3S/SATB				XX	7			
Alleluia	BOGENSBERGER	8				Alleluia		T					8		2 trompettes et ?	
Alleluia	LAFARGUE Yves	8		français		Alleluia		Unisson				XX	8			
"Alleluia ""Par la musique et par nos voix"""	SCHUTZ	8				Alleluia		4VM					8			
Alleluia 2 versions (Noël et Béatitudes)	SCHUTZ	8				Alleluia		1VE,4VM					8			
Alleluia Lumière des Nations	BERTHIER Jacques	8				Alleluia	U 13-79	SATB				XX	8			
La paix soit avec nous	WACKENHEIM	8				Communion		2VE					8			
Par la musique et par nos voix	SCHUTZ	8				Alleluia+ps150		SATB				XVIII	8			
Tota pulchra es	CAMPRA 	9		latin				SS		Motet à la Vierge		XVIII	9			
Tota pulchra es	CASALS Pau	9		latin				SATB		Motet à la Vierge		XX	9			
Tota pulchra es	DURUFLE Maurice	9		latin				SSA		Motet à la Vierge		XX	9			
Tota pulchra es Maria	BITON  Philippe	9		latin				SS		Motet à la Vierge		XIX	9			
Alleluia	MAWBY Colin/arrtMaucourt	10		français		Alleluia		SA				XX	10			
Alleluia	PRAETORIUS	10				Alleluia		SATB				XVI	10			
Alleluia (Psaume 117)	GOCAM	10				Alleluia	Z117-4	SATB				XXI	10			
Alleluia (Psaume 148)	GOCAM	10				Alleluia		SATB				XXI	10			
Alleluia (unisson)	MAWBY Colin	10				Alleluia		SATB			 	XX	10			
Alleluia festif	VERCRUYSSE 	10		français		Alleluia		4VM				XX	10		contrechant à la reprise	
Alleluia Messe de Darasse	DARASSE	10				Alleluia		SATB				XX	10			
Alleluia Messe de St Paul	Emmanuel	10				Alleluia		Unisson					10			
Alleluia Nantais	Air Nantais	10				Alleluia		SATB				XX	10		air du Regina Caeli	
Agneau de Dieu (Christus vincit)	DANIEL, Etienne	11				Agnus Dei		4VM					11			
Dieu Saint	GODARD Marcel	11				Sanctus		4VM					11			
Dieu Saint !  Dieu fort ! Dieu immortel !	DANIEL	11				Sanctus		VH					11			
Dieu Saint, dieu Fort, Dieu Immortel, Bénis soit ton nom	LECOT	11				Sanctus Lourdes		SATB				XX	11			
Dieu saint, Dieu fort, Dieu Immortel, prends pitié de nous	GODARD Marcel	11				Sanctus		TB				XX	11			
Saint est le Seigneur	LECOT	11				Sanctus		4VM					11			
Sanctus D après l'air de Christus Vincit	ANONYME	11		français		Sanctus		SATB					11	art T Louppe		
Sanctus D après l'air de Christus Vincit	KUNC Aloys	11		français		Sanctus		SATB					11			
Sanctus de LOURDES	LECOT	11				Sanctus	A 168	SATB					11			
Alleluia	DOURY Pierre	12		français		Alleluia		SATB			 	XX	12			
Alleluia 7 de Taizé en ré mineur	BERTHIER Jacques	12		français		Alleluia		SATB					12			
Alleluia de Taizé en ré majeur 	DAMON	12		français		Alleluia	U 25	SATB					12			
Alleluia Messe du Rassemblement	ORNES	12		hébreux		Alleluia		SATB+As				XX	12			
Alleluia O Filii et filiae	BLITSCH	12		latin	Pâques	Alleluia		SATB					12			
Alleluia Pascal 	LOUPPE Thibaut	12			Pâques	Alleluia		SATB					12			
Alleluia U45-19	LAMON	12		hébreux		Alleluia		3VM					12			
Alleluia.huit jours déjà	ROUCAIROL	12			Pâques	Alleluia		SATB		contre chant trompette			12			
Alle Jahre wieder (Alleluia letton)	ANONYME	13				Alleluia		5VM					13			
Alleluia	BUCHER Nicolas	13		français		Alleluia		SATB					13			
Alleluia	DOPF Hubert	13		français	Pâques	Alleluia		SATB					13			
Alleluia	LOUPPE Thibaut	13				Alleluia		Unisson					13			
Alleluia	REINTHALER Anton	13		hébreux		Alleluia		SSATBB					13			
Alleluia	RONCIN Chanoine	13		hébreux		Alleluia		Unisson					13		#NOM ?	
Alleluia Canon	ANONYME	13		français		Alleluia		3VE					13		canon	
Alleluia de St Augustin	ROUX Jean-Jo	13		hébreux		Alleluia		SAB					13			
"Alleluia letton ""Alle Jahre wieder"""	ANONYME	13		allemand		Alleluia		3VE					13			
Aube nouvelle	Akepsimas Jo	14		français	Avent		E 130	SATB					14			
Le monde ancien s'en est allé	GELINEAU J.	14		français	Avent	Entrée	E 135	SATB					14			
Psaume de la création	RICHARD Patrick	14		français		psaume de la création		Sol+SATB					14			
Viens Seigneur ne tarde plus	GOUZES	14		français	Avent			SATB				XX	14			
Gaude Mater Polonia	ANONYME	15		latin				SATB		chant marial		XIII	15			
Humble servante	BERTHIER Jacques	15		français	Chant marial		V248-1	SATB					15			
Notre Dame Lumière	ANONYME	15		français 	Chant marial Tchèque			Unisson					15		D après Tece Voda Tece	
