"*"	2	3	4	5	6	7	8	9	10	11	12	13	14
"*"	"COMPOSITEUR"	"Référence"	"LANGUE"	"GREGORIEN"	"TEMPS LITURGIQUE"	"FONCTION"	"COTE"	"VOIX"	"CANON O/N"		"MUSIQUE SACREE"	"MUSIQUE PROFANE"	"SIECLE"
"*"													
"Alles was ihr tut (tiré de la Cantate WV4)"	"BUXTEHUDE Dietrich"	253		"allemand"				"SATB"		"O31"	"Cantate WV4 Sonate1 n°2"		"XVII"
"*"													
"Ave Maria de Lourdes"	"ANONYME/LESBORDES Alexandre"	61		"fr/ita/esp/ang/allem/Hollande"		"chant marial"	"V"	"SSATB"	"O"				"XX"
"*"													
"Paulus choral 3"	"MENDELSSOHN Felix"	502		"allemand/anglais"				"SATB"		"orgue+O73"	"Oratorio"		
"Paulus Coro 26"	"MENDELSSOHN Felix"	502		"allemand"				"SATB"		"orgue=O73"	"Oratorio"		
"*"													
