Chantons avec toute l Eglise	ROBERT	1		français		Mystère de DieuSATB	M26-03	SATB				XX-XXI			
Praise O Praise	HOWE Martin	1		anglais		Louange		SATB				XX			
Un monde meilleur	DVORAK A	1		français	Offertoire		B 67	SATB				XIX			
Viens, lève-toi	ROBERT Philippe	1		français		Témoignage		SATB				XX-XXI			
Alleluia du Jubilé en fa mineur et Psaume 97	LECOT	2		français		Alleluia+Psaume		SATB				XX-XXI			
Alleluia du Jubilé en mi mineur 	LECOT	2		français		Alleluia		SATB				XX-XXI		contre chant trompette	
Gloire à Dieu de la Messe du Jubilé	LECOT	2		français		Gloria		Unisson				XX-XXI			
Jour du Seigneur	ROBERT Philippe	2		français	Pâques	Mystère de Dieu	M26-04	SATB				XX-XXI			
Laudate	NYSTEDT Knut	2		latin		Psaume de Louange		SATB				XX			
Messe de Saint François Xavier	LEBRUN Patricia	2		français		KY,Al SancAgnus		SATB				XX-XXI			
Messe du Jubilé	LECOT	2		français		Gloria, Agnus		SATB				XX-XXI			
Allein zu dir,herr Jesu Christ	BACH Johann Sebastian	3		allemand				SATB		ext cantate 33		XVII			En toi seul, Seigneur Jésus-Christ
Das blut Jesu Christi	BACH Michael	3		allemand				SATTB		Mottet		XVII			
Das ist je gewiblich wahr	SCHÜTZ	3		allemand				SATTB		SWV277		XVII			
La joie de Dieu ne passe pas	BERTHIER Jacques	3		français	Toussaint		W13-26	Unisson				XX			
Non nobis domine	BYRD	3		latin				MSTByr		tiré Psaume 115					Non pas à nous Seigneur donne ta Gloire
Salvum fac populum tuum	BRUCKNER Anton	3		latin				SATB				XIX 			
Agneau de Dieu Messe Saint Irénée	REVEYRON	4		français		Agnus Dei		4VM							
Agnus Dei Messe brève Regina Virginum	REVEYRON	4		latin		Agnus Dei		1VE							
Amen de Fourvière		4				Amen		SATB							
Amen, Alleluia	REVEYRON	4				Amen		SATB							
Je crois en un seul Dieu (Messe de St Irénée)	REVEYRON	4		français		Credo		1VE							
Kyrie ( Messe Brève Regina Virginum)	REVEYRON	4				Kyrie		4VM							
"Messe Brève ""Regina Virginum"""	REVEYRON	4				Messe		SAByr				XX 			
Messe de Saint Irénée (Credo, Sanctus, Agnus)	REVEYRON	4		français		Credo,Sanc,Agnus		SATB				XX			
