"Chantons avec toute l Eglise"	"ROBERT Philippe"	1		"français"		"Mystère de DieuSATB"	"M26-03"	"SATB"					"XX-XXI"			
"Praise O Praise"	"HOWE Martin"	1		"anglais"		"Louange"		"SATB"					"XX"			
"Un monde meilleur"	"DVORAK Anton"	1		"français"	"Offertoire"		"B 67"	"SATB"					"XIX"			
"Viens, lève-toi"	"ROBERT Philippe"	1		"français"		"Témoignage"		"SATB"					"XX-XXI"			
"Alleluia du Jubilé en fa mineur et Psaume 97"	"LECOT Jean-Paul"	2		"français"		"Alleluia+Psaume"		"SATB"					"XX-XXI"			
"Alleluia du Jubilé en mi mineur "	"LECOT Jean-Paul"	2		"français"		"Alleluia"		"SATB"					"XX-XXI"		"contre chant trompette"	
"Gloire à Dieu de la Messe du Jubilé"	"LECOT Jean-Paul"	2		"français"		"Gloria"		"Unisson"					"XX-XXI"			
"Jour du Seigneur"	"ROBERT Philippe"	2		"français"	"Pâques"	"Mystère de Dieu"	"M26-04"	"SATB"					"XX-XXI"			
"Laudate"	"NYSTEDT Knut"	2		"latin"		"Psaume de Louange"		"SATB"					"XX"			
"Messe de Saint François Xavier"	"LEBRUN Patricia"	2		"français"		"KY,Al SancAgnus"		"SATB"					"XX-XXI"			
"Messe du Jubilé"	"LECOT Jean-Paul"	2		"français"		"Gloria, Agnus"		"SATB"					"XX-XXI"			
"Allein zu dir,herr Jesu Christ"	"BACH Johann Sebastian"	3		"allemand"				"SATB"			"ext cantate 33"		"XVII"			"En toi seul, Seigneur Jésus-Christ"
"Das blut Jesu Christi"	"BACH Johann Michael"	3		"allemand"				"SATTB"			"Mottet"		"XVII"			
"Das ist je gewiblich wahr"	"SCHÜTZ Heinrich"	3		"allemand"				"SATTB"			"SWV277"		"XVII"			
"La joie de Dieu ne passe pas"	"BERTHIER Jacques"	3		"français"	"Toussaint"		"W13-26"	"Unisson"					"XX"			
"Non nobis domine"	"BYRD Wiiliam"	3		"latin"				"MSTBar"			"tiré Psaume 115"					"Non pas à nous Seigneur donne ta Gloire"
"Salvum fac populum tuum"	"BRUCKNER Anton"	3		"latin"				"SATB"					"XIX "			
"Amen Alleluia"	"REVEYRON Joseph"	4		"français"	"Offices"	"Amen"		"SATB"								
"Amen de Fourvière"	"ANONYME"	4		"français"		"Amen"		"SATB"								
"Hymne à Notre Dame de Fourvière"	"ALOY G."	4		"français"				"SA"								
"Messe Brève ""Regina Virginum"""	"REVEYRON Joseph"	4		"français"		"Messe"		"SacA/SABar"					"XX "			
"Messe de Saint Irénée "	"REVEYRON Joseph"	4		"français"		"Credo Sanctus Agnus Dei"		"SATB"					"XX"			
"Agnus Dei "	"CASALI Giovanni battista"	5		"latin"	"Messa concertata"	"Agnus Dei"		"SATB"								
"Lumen ad revelationem gentium"	"ANONYME"	5		"latin"	"Fête du 2 février"			"Unisson"								
"Messa Concertata"	"CASALI Giovanni battista"	5		"latin"		"Agnus Dei"		"SATB"								
"Messe de la confiance"	"REVEYRON Joseph"	5		"français"		"Messe"		"SATB"		"orgue"						
"Acte Pénitentiel"	"REBOUD"	6		"français"		"acte pénitentiel"		"SATB"								
"Agneau de Dieu"	"CRAIPEAU Paul"	6		"français"				"Unisson"		"orgue"						
"Agneau de DIEU"	"REBOUD"	6		"français"		"Agnus Dei"		"SATB"								
"Agneau de Dieu (St Severin )"	"ISOIR"	6		"français"		"Agnus Dei"		"SATB"								
"Agnus Dei"	"LANGLAIS Jean"	6		"français"		"Agnus Dei"		"SATB"					"XX"			
"Agnus Dei du ton royal"	"DU MONT Henri"	6		"latin"		"Agnus Dei"		"Unisson"					"XVII"			
"Kyrie de Taizé"	"BERTHIER Jacques"	6		"français"		"Kyrie"		"SATB"					"XX"			
"Prière pénitentielle"	"GODARD Marcel"	6		"français"		"Prière pénitentielle"		"SATB"					"XX"			
"Agneau de Dieu"	"GELINEAU Joseph"	7		"français"		"Agnus Dei"		"SATB"					"XX"			
"Amen Final des Combats de Dieu"	"GODARD Marcel"	7		"français"	" St Ignace de Loyola"	"Amen"	"C"	"SSS/SATB"					"XX"			
"Kyrie Slavon"	"GODARD Marcel"	7		"latin"		"Kyrie"		"SATB"					"XX"			
