Mère d Humanité;GODARD Marcel;470;;français;08-déc.;Intercession;;SATB;;;Vêpres de l Immaculée;;;
Amen Final des Combats de Dieu;GODARD Marcel;7;;français; St Ignace de Loyola;Amen;C;SSS/SATB;;;;;XX;
Kyrie ;FRANCK J.W.;600;;latin;;"Kyrie ""Messe Facile""";;SA;;orgue;;;;
O quam suavis est ;ANONYME;469;grégorien;;;Antienne des1° vêpres du St Sacrement;;Unisson;;;;;;
Tropaire pour le 14e dimanche;GODARD Marcel;182;;français;14° dimanche;;;S+SATB;;;;;;
Almighty And Everlasting God;GIBBONS Orlando;450;;anglais;3°dim après Epiphanie;;;SATB;;;;;;
Oculi mei;ANONYME;225;grégorien;;3°dim Carême;Introït;;;;;;;;
Lauda Jerusalem;DARROS Abbé;186;;latin;;Acclamation;;Solo/4VM;;;Psaume;;;
O Seigneur comment reconnaître;JEF Robert;96;;français;;Action de Grâce;C9;SATB;;;;;;
Peuples criez de joie ;NEANDER/RIMAUD;283;;franç,allem;;Action de Grâce;M 27;SATB;;;;;;
Praise to the Lord=Peuple, criez de joie;ANONYME;283;;anglais;;Action de Grâce;;Unisson;;;;;;
Quid Retribuam Domino;LIONCOURT G. de;506;;latin;;Action de Grâce;;SS;;orgue;;;;
Laissons-nous transformer par la lumière du Christ;ANONYME;288;;français;annonce de la Foi;;;SATB;;;;;;
Ecce concipies;HANDL Jakob;378;;latin;Annonciation;;;SATB;;;chant sacré=voici que la vierge enfantera…;;;
Nous avons marché;BERTHIER Jacques;323;;français;après Noël;Entrée;;Unisson/SATB;;;;;;
Dans la joie, le Seigneur;GODARD Marcel;71;;français;Ascension;;J5;SATB;;;;;;
Exaudi Domine;GRUNDEWALD W.;604;;allemand;Ascension;;;S;;orgue;;;;
Frappez dans vos mains;GOUDIMEL;146;;français;Ascension;;;SATB;;;;;;
Jésus nous montre le chemin de Dieu;DOYEN Henri;435;;français;Ascension;Entrée;;SATB;;;;;;
Joyeuse lumière;GELINEAU Joseph;435;;français;Ascension;;;SATB;;;;;;
Psallite Domino;BYRD Wiiliam;395;;latin;Ascension;;;AATTB;;;Motet;;;
Psallite Domino;GIFFEN C.H;627;;latin;Ascension;;;SmSA;;;;;;
Seigneur Jésus,  tu es vivant;OMBRIE Dominique;177;;français;Ascension;;J 16;SATB;;;;;;
Tous les peuples battez des mains;FREMONT Jean-François;435;;français;Ascension;;;SATB;;orchestre;Psaume 45;;;
Tous les peuples battez des mains;REVEYRON Joseph;76;;français;Ascension;;;SAB/SmSAcA;;;Psaume 45;;;
Viri Galilaei grégorien et ton simple;ANONYME;224;grégorien;;Ascension;Introït;;Unisson;;;;;;
Vive Dieu;DE COURREGES;432;;français;Ascension;;J 37;SSA;;;;;;
Assumpta est Maria;PALESTRINA;482;;latin;Assomption;chant marial;;SATTB;;;;;;
Offertoirepour les fêtes de l Assomption;FRANCK César;30;;latin;Assomption;Offertoire;;TB;;;;;XX;
Quae est ista;FRANCK César;258;;latin;Assomption;Offertoire;;SATB;;orgue+contrebasse+harpe;FWV 63;;;
Une femme dont on n a rien dit;GODARD Marcel;417;;français;Assomption;;;SSA/SATB;;;;;;
Une Fille dIsraël;GODARD Marcel;516;;français;Assomption;;;Unisson/SATB;;orgue;;;;
Adventi ének = Veni, Veni Emmanuel;KODALY;511;;latin;Avent;;;SAB;;;;;;
Alleluia pour le temps de l avent;GODARD Marcel;280;;français;Avent;Alleluia;;SABar;;orgue;;;;
Alleluia Temps de l Avent;GODARD Marcel;280;;français;Avent;Alleluia;;SABar;;orgue;;;;
Amour qui nous attends;TAMIE;28;;français;Avent;Tropaire;E173-1;Unisson;;;;;;
Aube nouvelle;AKEPSIMAS Jo;14;;français;Avent;;E 130;SATB;;;;;;
Conditor Alme Siderum ;ANONYME;239;grégorien;;Avent;Hymne de St Ambroise;;Unisson;;;;;;
Conditor Alme Siderum ;DUFAY;239;;français;Avent;;;Unisson;;;;;;
Deus tu convertens;RHEINBERGER Joseph Gabriel;535;;latin;Avent;;;SATB;;;;;;
Dis nous les signes de l esprit;AKEPSIMAS Jo;222;;français;Avent;;E216;Solo/4VM;;;;;;
Haec dies quam fecit Dominus;PALESTRINA;361;;latin;Avent;;;SATB;;;;;;
Introit for Advent;NICOLAÏ P.;601;;anglais;Avent;Introït;;SS;;;;;;
Invitatoire pour le temps de l  Avent;GODARD Marcel;102;;français;Avent;;;SSA;;;;;;
Invocations pour la prière litanique;GODARD Marcel;102;;français;Avent;Invocation;;SATB;;;;;;
