Un monde meilleur	DVORAK Anton	1		français	Offertoire		B 67	SATB				XIX			
Praise O Praise	HOWE Martin	1		anglais		Louange		SATB				XX			
Chantons avec toute l Eglise	ROBERT Philippe	1		français		Mystère de DieuSATB	M26-03	SATB				XX-XXI			
Viens, lève-toi	ROBERT Philippe	1		français		Témoignage		SATB				XX-XXI			
Messe de Saint François Xavier	LEBRUN Patricia	2		français		KY,Al SancAgnus		SATB				XX-XXI			
Alleluia du Jubilé en fa mineur et Psaume 97	LECOT Jean-Paul	2		français		Alleluia+Psaume		SATB				XX-XXI			
Alleluia du Jubilé en mi mineur 	LECOT Jean-Paul	2		français		Alleluia		SATB				XX-XXI		contre chant trompette	
Gloire à Dieu de la Messe du Jubilé	LECOT Jean-Paul	2		français		Gloria		Unisson				XX-XXI			
Messe du Jubilé	LECOT Jean-Paul	2		français		Gloria, Agnus		SATB				XX-XXI			
Laudate	NYSTEDT Knut	2		latin		Psaume de Louange		SATB				XX			
Jour du Seigneur	ROBERT Philippe	2		français	Pâques	Mystère de Dieu	M26-04	SATB				XX-XXI			
Das blut Jesu Christi	BACH Johann Michael	3		allemand				SATTB		Mottet		XVII			
Allein zu dir,herr Jesu Christ	BACH Johann Sebastian	3		allemand				SATB		ext cantate 33		XVII			En toi seul, Seigneur Jésus-Christ
La joie de Dieu ne passe pas	BERTHIER Jacques	3		français	Toussaint		W13-26	Unisson				XX			
Salvum fac populum tuum	BRUCKNER Anton	3		latin				SATB				XIX 			
Non nobis domine	BYRD Wiiliam	3		latin				MSTByr		tiré Psaume 115					Non pas à nous Seigneur donne ta Gloire
Das ist je gewiblich wahr	SCHÜTZ Heinrich	3		allemand				SATTB		SWV277		XVII			
Hymne à Notre Dame de Fourvière	ALOY G.	4		français				SA							
Amen de Fourvière	ANONYME	4		français		Amen		SATB							
Amen Alleluia	REVEYRON Joseph	4		français	Offices	Amen		SATB							
"Messe Brève ""Regina Virginum"""	REVEYRON Joseph	4		français		Messe		 SAcA/SABar				XX 			
Messe de Saint Irénée 	REVEYRON Joseph	4		français		Credo Sanctus Agnus Dei		SATB				XX			
Lumen ad revelationem gentium	ANONYME	5		latin	Fête du 2 février			Unisson							
Messa Concertata	CASALI Giovanni battista	5		latin		Agnus Dei		4VM							
Messe de la confiance	REVEYRON Joseph	5		français		Messe		4VM							
Kyrie de Taizé	BERTHIER Jacques	6		français		Kyrie		SATB				XX			
Agnus Dei du ton royal	DU MONT Henri	6		latin		Agnus Dei		Unisson				XVII			
Prière pénitentielle	GODARD Marcel	6		français		Prière pénitentielle		SATB				XX			
Agneau de Dieu (St Severin )	ISOIR	6		français		Agnus Dei		SATB							
Agnus Dei	LANGLAIS Jean	6		français		Agnus Dei		SATB				XX			
Acte Pénitentiel	REBOUD	6		français		acte pénitentiel		SATB							
Agneau de DIEU	REBOUD	6		français		Agnus Dei		4VM							
Agneau de Dieu	GELINEAU Joseph	7		français		Agnus Dei		SATB				XX			
Amen Final des Combats de Dieu	GODARD Marcel	7		français	 St Ignace de Loyola	Amen	C	3S/SATB				XX			
Kyrie Slavon	GODARD Marcel	7		latin		Kyrie		SATB				XX			
Messe sur la montagne	GODARD Marcel	7		français		Messe		3S/SATB				XX			
Alleluia Lumière des Nations	BERTHIER Jacques	8		français		Alleluia	U 13-79	SATB				XX			
Alleluia	BOGENSBERGER	8		hébreu		Alleluia		T						2 trompettes et ?	
Alleluia	LAFARGUE Yves	8		français		Alleluia		Unisson				XX			
Alleluia	LECOT Jean-Paul	8		hébreu		Alleluia		SSS							
"Alleluia ""Par la musique et par nos voix"""	SCHÜTZ Heinrich	8		français		Alleluia		4VM							
Alleluia 2 versions (Noël et Béatitudes)	SCHÜTZ Heinrich	8		français		Alleluia		1VE,4VM							
La paix soit avec nous	WACKENHEIM Michel	8		français		Communion		2VE							
